eom_date,fund_name,start_market_value,end_market_value,realised_pl,rate_of_return,rate_of_return_pct,is_best_performer
2022-09-30,Applebead,3028446520.0,3002879567.68,-1580771.94,-0.008964,-0.9,1
2022-09-30,Trustmind,1977733838.28,1931367581.79,-2347812.17,-0.024631,-2.46,0
2022-09-30,Magnum,1853945235.1,1802363206.93,864290.92,-0.027357,-2.74,0
2022-09-30,Wallington,1416441073.71,1378887816.51,-3073921.45,-0.028683,-2.87,0
2022-09-30,Leeder,2545941497.83,2468902442.75,-1600523.13,-0.030888,-3.09,0
2022-09-30,Whitestone,2697516695.35,2613491882.7,-2244029.49,-0.031981,-3.2,0
2022-09-30,Catalysm,81839396.17,78388977.59,133941.08,-0.040524,-4.05,0
2022-09-30,Belaware,75853532.52,72771768.69,-34042.96,-0.041077,-4.11,0
2022-09-30,Gohen,388254028.61,368630435.29,422195.2,-0.049456,-4.95,0
2022-09-30,Virtous,71643141.13,67852821.42,78785.35,-0.051806,-5.18,0
2022-10-31,Catalysm,78388977.59,83205441.77,284794.35,0.065076,6.51,1
2022-10-31,Virtous,67852821.42,71690197.73,298510.51,0.060954,6.1,0
2022-10-31,Applebead,3002879567.68,3188105257.53,-4232772.32,0.060273,6.03,0
2022-10-31,Trustmind,1931367581.79,2044494390.36,3250794.99,0.060257,6.03,0
2022-10-31,Whitestone,2613491882.7,2756216738.78,10193919.06,0.058511,5.85,0
2022-10-31,Leeder,2468902442.75,2617856368.28,-6505632.32,0.057697,5.77,0
2022-10-31,Magnum,1802363206.93,1897402174.97,2067021.21,0.053877,5.39,0
2022-10-31,Belaware,72771768.69,75774022.61,-3046.9,0.041214,4.12,0
2022-10-31,Gohen,368630435.29,385111591.68,-1372943.2,0.040985,4.1,0
2022-10-31,Wallington,1378887816.51,1429484169.88,-2618325.15,0.034795,3.48,0
2022-11-30,Belaware,75774022.61,79638581.24,160901.28,0.053125,5.31,1
2022-11-30,Wallington,1429484169.88,1494193800.09,1213716.7,0.046117,4.61,0
2022-11-30,Gohen,385111591.68,402210704.87,460184.04,0.045595,4.56,0
2022-11-30,Leeder,2617856368.28,2744284917.69,-8331823.49,0.045112,4.51,0
2022-11-30,Magnum,1897402174.97,1976533042.24,-1378861.06,0.040978,4.1,0
2022-11-30,Catalysm,83205441.77,86318956.84,34655.89,0.037836,3.78,0
2022-11-30,Applebead,3188105257.53,3293191251.1,-18188.58,0.032956,3.3,0
2022-11-30,Virtous,71690197.73,73940250.21,-69417.96,0.030417,3.04,0
2022-11-30,Whitestone,2756216738.78,2827857899.39,-1624717.03,0.025403,2.54,0
2022-11-30,Trustmind,2044494390.36,2081884789.81,133279.36,0.018354,1.84,0
2022-12-31,Gohen,402210704.87,398706471.3,73185.12,-0.00853,-0.85,1
2022-12-31,Whitestone,2827857899.39,2800028327.04,-1085052.91,-0.010225,-1.02,0
2022-12-31,Trustmind,2081884789.81,2057525151.66,2665274.34,-0.010421,-1.04,0
2022-12-31,Virtous,73940250.21,72778298.96,27705.47,-0.01534,-1.53,0
2022-12-31,Leeder,2744284917.69,2695363027.96,2866320.86,-0.016782,-1.68,0
2022-12-31,Applebead,3293191251.1,3225605052.17,801960.41,-0.020279,-2.03,0
2022-12-31,Catalysm,86318956.84,84349336.64,17566.17,-0.022614,-2.26,0
2022-12-31,Belaware,79638581.24,77593591.3,94155.61,-0.024496,-2.45,0
2022-12-31,Magnum,1976533042.24,1915705476.15,556729.43,-0.030493,-3.05,0
2022-12-31,Wallington,1494193800.09,1428373420.48,-2819629.59,-0.045938,-4.59,0
2023-01-31,Wallington,1428373420.48,1529015624.3,-884192.38,0.06984,6.98,1
2023-01-31,Catalysm,84349336.64,89406096.52,-135521.53,0.058344,5.83,0
2023-01-31,Leeder,2695363027.96,2795883034.0,2788350.44,0.038328,3.83,0
2023-01-31,Trustmind,2057525151.66,2126436615.69,6690075.61,0.036744,3.67,0
2023-01-31,Magnum,1915705476.15,1981243200.93,4491471.51,0.036555,3.66,0
2023-01-31,Gohen,398706471.3,413487365.0,-991451.98,0.034585,3.46,0
2023-01-31,Belaware,77593591.3,80082966.97,21676.32,0.032362,3.24,0
2023-01-31,Virtous,72778298.96,75012608.17,-110522.39,0.029182,2.92,0
2023-01-31,Applebead,3225605052.17,3307574214.61,6014176.96,0.027277,2.73,0
2023-01-31,Whitestone,2800028327.04,2847350085.88,2959476.86,0.017957,1.8,0
2023-02-28,Applebead,3307574214.61,3300705870.27,483392.89,-0.00193,-0.19,1
2023-02-28,Wallington,1529015624.3,1511162225.76,1993892.36,-0.010372,-1.04,0
2023-02-28,Magnum,1981243200.93,1957284970.79,2743328.48,-0.010708,-1.07,0
2023-02-28,Belaware,80082966.97,79083945.15,79375.82,-0.011484,-1.15,0
2023-02-28,Catalysm,89406096.52,88057440.82,-25027.61,-0.015365,-1.54,0
2023-02-28,Gohen,413487365.0,407702469.81,-790207.83,-0.015902,-1.59,0
2023-02-28,Virtous,75012608.17,73653587.32,-17479.83,-0.01835,-1.84,0
2023-02-28,Leeder,2795883034.0,2739922281.46,-676508.3,-0.020257,-2.03,0
2023-02-28,Trustmind,2126436615.69,2081467980.5,1205625.19,-0.02058,-2.06,0
2023-02-28,Whitestone,2847350085.88,2786049880.66,2626232.58,-0.020607,-2.06,0
2023-03-31,Whitestone,2786049880.66,2851825927.48,3505591.51,0.024867,2.49,1
2023-03-31,Leeder,2739922281.46,2795414499.11,-742914.22,0.019982,2.0,0
2023-03-31,Catalysm,88057440.82,89850927.57,-203745.53,0.018053,1.81,0
2023-03-31,Magnum,1957284970.79,1990626801.25,-313952.63,0.016874,1.69,0
2023-03-31,Belaware,79083945.15,80247751.13,85125.27,0.015792,1.58,0
2023-03-31,Trustmind,2081467980.5,2104809014.5,891961.09,0.011642,1.16,0
2023-03-31,Wallington,1511162225.76,1520799479.29,3579639.4,0.008746,0.87,0
2023-03-31,Virtous,73653587.32,73857564.18,-16352.58,0.002547,0.25,0
2023-03-31,Applebead,3300705870.27,3303805092.27,-3585516.93,-0.000147,-0.01,0
2023-03-31,Gohen,407702469.81,405622137.53,-779159.1,-0.007014,-0.7,0
2023-04-30,Wallington,1520799479.29,1560718201.69,-1134079.61,0.025503,2.55,1
2023-04-30,Applebead,3303805092.27,3345009124.94,7072197.67,0.014612,1.46,0
2023-04-30,Gohen,405622137.53,410426711.27,678540.47,0.013518,1.35,0
2023-04-30,Whitestone,2851825927.48,2888436282.48,-3087885.31,0.011755,1.18,0
2023-04-30,Belaware,80247751.13,81136071.4,-38266.33,0.010593,1.06,0
2023-04-30,Virtous,73857564.18,74405835.88,15094.2,0.007628,0.76,0
2023-04-30,Leeder,2795414499.11,2794571276.31,-4033611.22,-0.001745,-0.17,0
2023-04-30,Catalysm,89850927.57,89580417.14,-108802.32,-0.004222,-0.42,0
2023-04-30,Trustmind,2104809014.5,2088292956.34,-674252.3,-0.008167,-0.82,0
2023-04-30,Magnum,1990626801.25,1972627736.24,1102021.24,-0.008488,-0.85,0
2023-05-31,Magnum,1972627736.24,2017578090.59,-208473.93,0.022681,2.27,1
2023-05-31,Leeder,2794571276.31,2776027433.16,-7921647.19,-0.00947,-0.95,0
2023-05-31,Gohen,410426711.27,405696463.65,-487996.98,-0.012714,-1.27,0
2023-05-31,Wallington,1560718201.69,1535983303.77,262137.71,-0.01568,-1.57,0
2023-05-31,Virtous,74405835.88,73209629.85,-122150.25,-0.017718,-1.77,0
2023-05-31,Belaware,81136071.4,79666181.35,-62557.91,-0.018887,-1.89,0
2023-05-31,Catalysm,89580417.14,87746916.87,88954.47,-0.019475,-1.95,0
2023-05-31,Trustmind,2088292956.34,2036107299.64,2103018.96,-0.023983,-2.4,0
2023-05-31,Whitestone,2888436282.48,2784427037.85,-479942.82,-0.036175,-3.62,0
2023-05-31,Applebead,3345009124.94,3208118055.91,14630628.07,-0.03655,-3.66,0
2023-06-30,Gohen,405696463.65,429532225.81,177171.45,0.059189,5.92,1
2023-06-30,Trustmind,2036107299.64,2150186491.7,153889.98,0.056104,5.61,0
2023-06-30,Magnum,2017578090.59,2125461326.55,3552168.93,0.055232,5.52,0
2023-06-30,Whitestone,2784427037.85,2915616910.13,4202829.51,0.048625,4.86,0
2023-06-30,Applebead,3208118055.91,3366296046.92,-3115019.35,0.048335,4.83,0
2023-06-30,Catalysm,87746916.87,91743114.48,195462.48,0.04777,4.78,0
2023-06-30,Belaware,79666181.35,83312282.85,155555.34,0.04772,4.77,0
2023-06-30,Wallington,1535983303.77,1608790422.44,-1673875.57,0.046311,4.63,0
2023-06-30,Virtous,73209629.85,76604862.16,-63466.01,0.04551,4.55,0
2023-06-30,Leeder,2776027433.16,2852270870.01,1027783.45,0.027835,2.78,0
2023-07-31,Gohen,429532225.81,443571805.39,-346763.54,0.031878,3.19,1
2023-07-31,Virtous,76604862.16,78039627.78,50792.06,0.019392,1.94,0
2023-07-31,Wallington,1608790422.44,1626278392.8,2202502.88,0.012239,1.22,0
2023-07-31,Magnum,2125461326.55,2145416279.25,-489264.26,0.009158,0.92,0
2023-07-31,Trustmind,2150186491.7,2171421878.01,-2656162.66,0.008641,0.86,0
2023-07-31,Applebead,3366296046.92,3388395094.8,1439804.32,0.006993,0.7,0
2023-07-31,Leeder,2852270870.01,2870548864.72,1032044.88,0.00677,0.68,0
2023-07-31,Belaware,83312282.85,83740255.46,-147480.37,0.003367,0.34,0
2023-07-31,Catalysm,91743114.48,92023367.63,-80065.72,0.002182,0.22,0
2023-07-31,Whitestone,2915616910.13,2918595131.1,-2651862.5,0.000112,0.01,0
2023-08-31,Belaware,83740255.46,83555673.35,-64285.59,-0.002972,-0.3,1
2023-08-31,Leeder,2870548864.72,2863049615.88,-4586621.44,-0.00421,-0.42,0
2023-08-31,Wallington,1626278392.8,1614486074.26,109089.47,-0.007184,-0.72,0
2023-08-31,Applebead,3388395094.8,3339964390.32,-2439631.99,-0.015013,-1.5,0
2023-08-31,Magnum,2145416279.25,2103288220.22,4263498.3,-0.017649,-1.76,0
2023-08-31,Catalysm,92023367.63,90307983.47,-19770.38,-0.018856,-1.89,0
2023-08-31,Trustmind,2171421878.01,2121957232.47,-1980555.31,-0.023692,-2.37,0
2023-08-31,Gohen,443571805.39,431832847.11,-138750.41,-0.026777,-2.68,0
2023-08-31,Whitestone,2918595131.1,2820706362.25,5433341.28,-0.031678,-3.17,0
2023-08-31,Virtous,78039627.78,75264432.93,-170938.34,-0.037752,-3.78,0
