fund_name,eom_date,instrument_type,symbol,security_name,fund_price,reference_price,reference_price_date,reference_source,staleness_days,price_difference,price_difference_pct,quantity,market_value,reference_available
Applebead,2022-08-31,Equities,ACGL,Arch Capital Group,45.72,45.72,2022-08-31,equity,0,0.0,0.0,184611.9567033058,8440458.66047514,Yes
Applebead,2022-08-31,Equities,ANSS,Ansys,248.3,248.3,2022-08-31,equity,0,0.0,0.0,272170.7704540166,67580002.30373232,Yes
Applebead,2022-08-31,Equities,ARE,Alexandria Real Estate Equities,147.71,147.71,2022-08-31,equity,0,0.0,0.0,194106.2859051901,28671439.49105563,Yes
Applebead,2022-08-31,Government Bond,AU0000XCLWP8,AUSTRALIAN GOVERNMENT 3% 09/20/2025 REGS,150.12,150.12,2022-08-29,bond,2,0.0,0.0,4870.7592671627235,731198.3811864681,Yes
Applebead,2022-08-31,Government Bond,AU0000XCLWV6,AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,161.95,161.95,2022-08-29,bond,2,0.0,0.0,2399.998718076373,388679.79239246855,Yes
Applebead,2022-08-31,Government Bond,AU3TB0000135,AUSTRALIAN GOVERNMENT 4.8% 04/21/2027 REGS,117.84,117.84,2022-08-29,bond,2,0.0,0.0,34189.10533906737,4028844.173155699,Yes
Applebead,2022-08-31,Equities,AVY,Avery Dennison,180.52,180.52,2022-08-31,equity,0,0.0,0.0,152964.19269702482,27613096.06566692,Yes
Applebead,2022-08-31,Equities,AXP,American Express,149.83,149.83,2022-08-31,equity,0,0.0,0.0,310148.08726155374,46469487.9143986,Yes
Applebead,2022-08-31,Equities,AZO,AutoZone,2119.21,2119.21,2022-08-31,equity,0,0.0,0.0,269005.9940533885,570080192.6578814,Yes
Applebead,2022-08-31,Equities,BBY,Best Buy,67.45,67.45,2022-08-31,equity,0,0.0,0.0,126591.05602512398,8538566.728894614,Yes
Applebead,2022-08-31,Government Bond,BE0000331406,BELGIUM KINGDOM 3.75% 6/22/2045 REGS,164.26,164.26,2022-08-29,bond,2,0.0,0.0,11241.854403973086,1846587.004396619,Yes
Applebead,2022-08-31,Equities,BK,BNY Mellon,40.11,40.11,2022-08-31,equity,0,0.0,0.0,198325.98777269424,7954855.369562766,Yes
Applebead,2022-08-31,Equities,BR,Broadridge Financial Solutions,167.91,167.91,2022-08-31,equity,0,0.0,0.0,103382.69575385125,17358988.444029164,Yes
Applebead,2022-08-31,Equities,CAG,Conagra Brands,33.11,33.11,2022-08-31,equity,0,0.0,0.0,135030.45976013225,4470858.522657978,Yes
Applebead,2022-08-31,Equities,COP,ConocoPhillips,104.17,104.17,2022-08-31,equity,0,0.0,0.0,270060.9195202645,28132245.98642595,Yes
Applebead,2022-08-31,Equities,CPB,Campbell Soup Company,48.94,48.94,2022-08-31,equity,0,0.0,0.0,147689.56536264464,7227927.328847828,Yes
Applebead,2022-08-31,Equities,CPRT,Copart,29.91,29.91,2022-08-31,equity,0,0.0,0.0,122371.35415761985,3660127.20285441,Yes
Applebead,2022-08-31,Equities,CRL,Charles River Laboratories,205.25,205.25,2022-08-31,equity,0,0.0,0.0,272170.7704540166,55863050.635686904,Yes
Applebead,2022-08-31,Equities,CSCO,Cisco,43.3,43.3,2022-08-31,equity,0,0.0,0.0,133975.5342932562,5801140.634897993,Yes
Applebead,2022-08-31,Equities,DAL,Delta Air Lines,31.0,31.0,2022-08-31,equity,0,0.0,0.0,32702.68947315703,1013783.3736678679,Yes
Applebead,2022-08-31,Equities,DGX,Quest Diagnostics,122.83,122.83,2022-08-31,equity,0,0.0,0.0,201490.76417332233,24749110.56340918,Yes
Applebead,2022-08-31,Equities,DRI,Darden Restaurants,119.65,119.65,2022-08-31,equity,0,0.0,0.0,175117.6275014215,20952824.130545083,Yes
Applebead,2022-08-31,Equities,EBAY,eBay,43.41,43.41,2022-08-31,equity,0,0.0,0.0,166678.22376641323,7235501.693699998,Yes
